t, Vc
0,0
0.1,0.1
0.2,0.18
0.3,0.244
0.4,0.2952
0.5,0.33616
0.6,0.368928
0.7,0.395142
0.8,0.416114
0.9,0.432891
1,0.446313
1.1,0.45705
1.2,0.46564
1.3,0.472512
1.4,0.47801
1.5,0.482408
1.6,0.485926
1.7,0.488741
1.8,0.490993
1.9,0.492794
2,0.494235
2.1,0.495388
2.2,0.496311
2.3,0.497049
2.4,0.497639
2.5,0.498111
2.6,0.498489
2.7,0.498791
2.8,0.499033
2.9,0.499226
3,0.499381
3.1,0.499505
3.2,0.499604
3.3,0.499683
3.4,0.499746
3.5,0.499797
3.6,0.499838
3.7,0.49987
3.8,0.499896
3.9,0.499917
4,0.499934
4.1,0.499947
4.2,0.499957
4.3,0.499966
4.4,0.499973
4.5,0.499978
4.6,0.499983
4.7,0.499986
4.8,0.499989
4.9,0.499991
5,0.499993
